City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Desc,Country
Bathsheba,13.2167,-59.5167,85.46,69,15,12.82,few clouds,BB
Adre,13.4667,22.2,79.38,63,53,16.37,broken clouds,TD
Vestmannaeyjar,63.4427,-20.2734,51.24,84,99,11.23,overcast clouds,IS
Ilulissat,69.2167,-51.1,46.42,81,100,10.36,light rain,GL
Nanortalik,60.1432,-45.2371,44.96,86,21,10.98,few clouds,GL
Port Alfred,-33.5906,26.891,54.18,82,7,3.0,clear sky,ZA
Ushuaia,-54.8,-68.3,43.79,66,11,2.37,few clouds,AR
Gidole,5.65,37.3667,63.97,56,97,2.37,overcast clouds,ET
Busselton,-33.65,115.3333,58.87,88,91,20.2,light rain,AU
Jamestown,42.097,-79.2353,71.24,83,75,9.22,broken clouds,US
Camacha,33.0833,-16.3333,74.62,69,20,17.27,few clouds,PT
Mahebourg,-20.4081,57.7,69.26,70,6,12.75,clear sky,MU
Kavaratti,10.5669,72.642,80.55,85,100,13.51,overcast clouds,IN
Vite,17.2833,74.55,71.22,97,100,16.55,light rain,IN
Cape Town,-33.9258,18.4232,59.41,60,0,14.97,clear sky,ZA
Bredasdorp,-34.5322,20.0403,50.52,75,35,7.72,scattered clouds,ZA
Cidreira,-30.1811,-50.2056,60.73,81,96,12.73,overcast clouds,BR
Punta Arenas,-53.15,-70.9167,48.11,49,24,6.76,few clouds,CL
Uray,60.1247,64.7758,47.03,66,83,6.22,broken clouds,RU
Tutoia,-2.7619,-42.2744,85.46,61,98,16.22,overcast clouds,BR
Tasiilaq,65.6145,-37.6368,57.36,54,22,7.76,few clouds,GL
Wilmington,34.2257,-77.9447,91.31,62,96,5.99,overcast clouds,US
Gat,31.61,34.7642,80.82,100,0,5.61,clear sky,IL
Zapolyarnyy,69.4154,30.8136,42.08,88,92,10.51,overcast clouds,RU
Ribeira Grande,38.5167,-28.7,75.6,88,75,9.22,light rain,PT
Coxim,-18.5067,-54.76,104.36,14,4,9.44,clear sky,BR
Yambio,4.5721,28.3955,69.78,93,100,4.03,overcast clouds,SS
Kedrovyy,56.1667,91.8167,43.21,95,98,10.85,overcast clouds,RU
Hambantota,6.1241,81.1185,78.91,81,75,16.46,broken clouds,LK
Mglin,53.0591,32.8475,49.82,85,97,12.06,overcast clouds,RU
Qaanaaq,77.484,-69.3632,37.8,96,100,6.29,overcast clouds,GL
Port Elizabeth,-33.918,25.5701,57.31,70,4,15.99,clear sky,ZA
Sistranda,63.7256,8.834,58.96,75,99,14.25,overcast clouds,NO
Wloszczowa,50.8526,19.9659,59.4,58,12,5.44,few clouds,PL
Conceicao Do Araguaia,-8.2578,-49.2647,105.67,13,96,10.04,overcast clouds,BR
Longyearbyen,78.2186,15.6401,35.44,80,75,10.36,broken clouds,SJ
Bermeo,43.4209,-2.7215,93.4,58,98,17.43,overcast clouds,ES
Ponta Do Sol,32.6667,-17.1,79.0,78,92,14.38,overcast clouds,PT
Honningsvag,70.9821,25.9704,42.55,65,100,8.05,overcast clouds,NO
Coihaique,-45.5752,-72.0662,42.94,91,100,1.92,overcast clouds,CL
Ostrovnoy,68.0531,39.5131,47.68,92,100,11.16,overcast clouds,RU
Thinadhoo,0.5333,72.9333,82.45,71,5,9.17,clear sky,MV
Mar Del Plata,-38.0023,-57.5575,58.95,74,99,10.0,overcast clouds,AR
Falavarjan,32.5553,51.5097,76.21,20,1,12.82,clear sky,IR
Tessalit,20.1986,1.0114,103.82,8,51,5.44,broken clouds,ML
Mariental,-24.6333,17.9667,69.48,14,33,11.97,scattered clouds,NA
Kolaras,25.2333,77.6,75.72,89,45,8.75,scattered clouds,IN
Sao Joao Da Barra,-21.6403,-41.0511,71.19,71,90,9.78,overcast clouds,BR
Koungou,-12.7336,45.2042,74.91,83,100,4.61,overcast clouds,YT
Saldanha,-33.0117,17.9442,54.86,73,0,19.69,clear sky,ZA
Matara,5.9485,80.5353,76.37,92,56,7.16,broken clouds,LK
Pitimbu,-7.4706,-34.8086,79.63,67,39,13.33,scattered clouds,BR
Najran,17.4924,44.1277,86.14,14,79,9.82,broken clouds,SA
Torbay,47.6666,-52.7314,61.75,97,100,12.66,light rain,CA
Sinop,41.7711,34.8709,60.6,86,99,4.43,overcast clouds,TR
Richards Bay,-28.783,32.0377,64.49,79,100,8.08,light rain,ZA
Cabedelo,-6.9811,-34.8339,79.97,64,18,14.25,few clouds,BR
Sur,22.5667,59.5289,87.19,62,30,11.7,scattered clouds,OM
Trairi,-3.2778,-39.2689,86.18,55,53,16.93,broken clouds,BR
Takoradi,4.8845,-1.7554,77.72,76,85,12.88,overcast clouds,GH
Mount Pleasant,32.7941,-79.8626,87.98,75,0,6.91,clear sky,US
Tahoua,14.8888,5.2692,93.96,37,48,7.4,scattered clouds,NE
Salmas,38.1973,44.7653,69.31,35,19,1.72,few clouds,IR
Rognan,67.0953,15.3878,52.88,77,100,3.58,overcast clouds,NO
Husavik,66.0449,-17.3389,56.71,52,41,0.98,scattered clouds,IS
Boende,-0.2167,20.8667,73.08,93,85,1.83,light rain,CD
Margate,51.3813,1.3862,73.87,56,94,4.0,overcast clouds,GB
Plerin,48.5425,-2.7798,70.12,73,0,9.22,clear sky,FR
Mayor Pablo Lagerenza,-19.9309,-60.7718,81.45,27,94,8.55,overcast clouds,PY
Eyl,7.9803,49.8164,78.66,77,59,22.91,broken clouds,SO
Altamira,-3.2033,-52.2064,100.22,24,30,3.18,scattered clouds,BR
Ivaipora,-24.2478,-51.6847,73.4,69,97,2.04,overcast clouds,BR
Dingle,10.9995,122.6711,75.38,89,32,2.57,scattered clouds,PH
Hermanus,-34.4187,19.2345,54.81,68,27,5.3,scattered clouds,ZA
Belmonte,-15.8631,-38.8828,78.19,50,32,6.46,scattered clouds,BR
Lagoa,39.05,-27.9833,71.38,78,67,10.04,broken clouds,PT
Acandi,8.5063,-77.2778,83.3,78,67,4.56,broken clouds,CO
Micomeseng,2.1462,10.6164,72.81,90,89,3.89,light rain,GQ
New Haven,41.4001,-72.9329,76.57,80,100,3.44,overcast clouds,US
Sayyan,15.1718,44.3244,71.22,29,79,10.0,broken clouds,YE
Saint George,37.1041,-113.5841,80.44,54,88,2.24,overcast clouds,US
Miraflores,19.2167,-98.8083,66.97,55,67,3.67,broken clouds,MX
Huarmey,-10.0681,-78.1522,66.24,70,86,11.61,overcast clouds,PE
Dikson,73.5069,80.5464,38.03,69,100,22.7,light rain,RU
Salalah,17.0151,54.0924,79.79,88,79,5.79,broken clouds,OM
Bambous Virieux,-20.3428,57.7575,69.22,70,8,12.66,clear sky,MU
Georgetown,5.4112,100.3354,81.9,84,20,2.3,few clouds,MY
Pindiga,9.9833,10.9333,77.79,79,29,7.49,scattered clouds,NG
Tazovskiy,67.4667,78.7,36.55,82,63,10.33,broken clouds,RU
Patrocinio,-18.9439,-46.9925,90.52,18,11,10.18,few clouds,BR
Fort-Shevchenko,44.5086,50.263,72.25,43,0,14.43,clear sky,KZ
Thompson,55.7435,-97.8558,54.16,44,58,11.25,broken clouds,CA
Nizip,37.0097,37.7942,82.53,26,0,14.07,clear sky,TR
Sarkand,45.41,79.9186,53.55,43,98,2.84,overcast clouds,KZ
Hithadhoo,-0.6,73.0833,82.38,70,2,9.13,clear sky,MV
Iralaya,15.0,-83.2333,86.23,68,34,8.08,scattered clouds,HN
Qaqortoq,60.7167,-46.0333,47.79,76,75,9.28,broken clouds,GL
Panjab,34.388,67.0233,55.96,49,59,5.08,broken clouds,AF
Saint-Philippe,-21.3585,55.7679,69.39,72,43,9.71,scattered clouds,RE
Yar-Sale,66.8333,70.8333,43.86,93,100,12.57,light rain,RU
Castro,-24.7911,-50.0119,66.27,78,95,3.24,overcast clouds,BR
Bage,-31.3314,-54.1069,64.54,64,77,8.08,broken clouds,BR
Derveni,38.1333,22.4167,81.0,61,1,0.96,clear sky,GR
Souillac,-20.5167,57.5167,70.07,71,6,11.63,clear sky,MU
Tsaratanana,-16.7833,47.65,70.16,50,60,9.78,broken clouds,MG
Hamilton,39.1834,-84.5333,71.26,60,22,7.0,few clouds,US
Ales,44.1333,4.0833,79.7,63,14,6.89,few clouds,FR
Scunthorpe,53.579,-0.6544,67.5,52,100,7.0,light rain,GB
Carnarvon,-24.8667,113.6333,68.16,80,8,19.17,clear sky,AU
Vangazi,57.0936,24.5486,53.38,90,100,3.89,overcast clouds,LV
Codrington,-38.2667,141.9667,43.84,76,76,3.24,broken clouds,AU
Sidi Ali,36.0998,0.4206,93.11,35,41,10.18,scattered clouds,DZ
Amapa,1.0,-52.0,96.55,30,6,3.47,clear sky,BR
Chintamani,13.4,78.0667,70.14,78,100,14.29,overcast clouds,IN
Upernavik,72.7868,-56.1549,40.71,97,100,3.6,light rain,GL
Sao Filipe,14.8961,-24.4956,80.19,75,60,12.33,broken clouds,CV
Nador,35.174,-2.9287,77.25,83,75,14.97,broken clouds,MA
Sergeyevka,53.88,67.4158,47.98,61,94,1.19,overcast clouds,KZ
Reguengos De Monsaraz,38.4253,-7.5349,75.13,59,100,17.87,overcast clouds,PT
Les Cayes,18.2,-73.75,86.7,64,100,10.0,overcast clouds,HT
Lima,-12.0432,-77.0282,68.9,68,74,8.41,broken clouds,PE
Sosnovskoye,55.8052,43.167,46.65,60,85,7.23,overcast clouds,RU
Palmares Do Sul,-30.2578,-50.5097,65.03,70,99,5.75,overcast clouds,BR
Sumbe,-11.2061,13.8437,72.68,78,1,6.35,clear sky,AO
Muros,42.7762,-9.0603,73.17,83,99,10.69,overcast clouds,ES
Chuy,-33.6971,-53.4616,61.75,71,89,8.93,overcast clouds,UY
Marbella,36.5154,-4.8858,82.08,33,100,7.38,light rain,ES
Cabanas,22.9758,-82.9219,88.59,59,36,7.09,scattered clouds,CU
Tchollire,8.4022,14.1698,75.96,89,40,4.09,light rain,CM
Torres,-29.3353,-49.7269,64.51,75,90,7.63,overcast clouds,BR
Bandarbeyla,9.4942,50.8122,77.81,83,76,30.44,broken clouds,SO
Kismayo,-0.3582,42.5454,75.92,82,67,16.75,broken clouds,SO
Bud,39.447,-86.1758,68.76,72,59,11.72,broken clouds,US
Grindavik,63.8424,-22.4338,50.47,87,100,14.97,overcast clouds,IS
Victoria,22.2855,114.1577,88.18,63,2,4.0,clear sky,HK
East London,-33.0153,27.9116,60.6,60,12,17.16,few clouds,ZA
Narsaq,60.9167,-46.05,53.82,67,94,4.74,overcast clouds,GL
Luderitz,-26.6481,15.1594,66.18,44,38,27.31,scattered clouds,NA
Road Town,18.4167,-64.6167,87.89,79,40,8.05,scattered clouds,VG
Chemal,51.4111,86.005,43.95,95,87,1.5,overcast clouds,RU
Pimenta Bueno,-11.6725,-61.1936,100.96,22,38,4.61,scattered clouds,BR
Alenquer,-1.9417,-54.7383,98.04,31,22,6.87,few clouds,BR
Klaksvik,62.2266,-6.589,52.72,97,87,18.01,overcast clouds,FO
Floresti,47.8933,28.3014,52.61,82,99,14.65,overcast clouds,MD
Kulhudhuffushi,6.6221,73.07,80.51,82,6,8.81,clear sky,MV
Roald,62.5833,6.1333,61.72,77,75,9.22,broken clouds,NO
Namibe,-15.1961,12.1522,64.38,85,52,9.17,broken clouds,AO
Derzhavinsk,51.1,66.3167,52.97,50,73,4.59,broken clouds,KZ
Lieksa,63.3167,30.0167,54.95,68,100,6.38,overcast clouds,FI
San Juan De Arama,3.3464,-73.8894,87.51,53,26,3.94,scattered clouds,CO
Axim,4.8699,-2.2405,76.15,79,83,10.29,broken clouds,GH
Abbeyfeale,52.3814,-9.3025,64.11,87,100,7.31,overcast clouds,IE
Koygorodok,60.445,50.9968,47.52,79,100,3.94,overcast clouds,RU
Bhuvanagiri,11.4667,79.6333,81.46,77,66,17.18,broken clouds,IN
Cayenne,4.9333,-52.3333,87.84,55,75,12.66,broken clouds,GF
Carutapera,-1.195,-46.02,84.42,67,94,8.3,overcast clouds,BR
Faya,18.3851,42.4509,77.52,32,100,4.83,overcast clouds,SA
Iisalmi,63.5592,27.1907,50.68,73,100,3.91,overcast clouds,FI
Niquero,20.0431,-77.5828,87.93,61,81,0.85,broken clouds,CU
Jaque,7.5175,-78.1703,80.82,83,39,6.29,light rain,PA
Itarema,-2.9248,-39.9167,87.35,56,73,18.59,broken clouds,BR
Imbituba,-28.24,-48.6703,63.86,94,100,14.12,overcast clouds,BR
Arraial Do Cabo,-22.9661,-42.0278,71.46,68,100,13.8,overcast clouds,BR
Poykovskiy,61.2333,73.3333,44.89,81,0,6.71,clear sky,RU
Pangnirtung,66.1451,-65.7125,42.78,95,100,4.97,overcast clouds,CA
Igunga,-4.2833,33.8833,85.95,23,83,3.24,broken clouds,TZ
Clyde River,70.4692,-68.5914,38.41,96,100,3.89,overcast clouds,CA
Jalu,29.0331,21.5482,92.43,28,0,15.32,clear sky,LY
Riberalta,-10.9833,-66.1,96.37,34,80,4.23,broken clouds,BO
Mecca,21.4267,39.8261,93.33,43,62,4.23,broken clouds,SA
Sao Domingos,-13.3983,-46.3183,98.19,12,20,5.48,few clouds,BR
Pangody,65.85,74.4859,42.46,76,99,8.9,overcast clouds,RU
Saint-Augustin,51.226,-58.6502,72.63,40,0,9.46,clear sky,CA
Kasongo,-4.45,26.6667,77.02,63,71,3.96,broken clouds,CD
Wladyslawowo,54.7909,18.4009,57.94,65,30,6.29,scattered clouds,PL
Schagen,52.7875,4.7986,73.96,66,100,9.22,overcast clouds,NL
Asosa,10.0667,34.5333,61.16,96,53,2.55,light rain,ET
Inhambane,-23.865,35.3833,72.21,83,3,11.03,clear sky,MZ
Malanje,-9.5402,16.341,83.23,29,51,4.54,broken clouds,AO
Westport,41.1415,-73.3579,76.41,88,100,4.61,overcast clouds,US
Nouakchott,18.0858,-15.9785,90.82,58,61,2.91,broken clouds,MR
Alice Town,25.7167,-79.3,84.36,67,1,3.47,clear sky,BS
Vila Franca Do Campo,37.7167,-25.4333,78.19,74,20,12.86,few clouds,PT
Grand-Santi,4.25,-54.3833,96.58,37,10,2.46,clear sky,GF
Sinnamary,5.3833,-52.95,83.77,69,9,9.22,clear sky,GF
Taoudenni,22.6783,-3.9836,110.95,9,8,9.57,clear sky,ML
Atar,20.5169,-13.0499,103.89,20,34,8.95,scattered clouds,MR
Kudahuvadhoo,2.6708,72.8944,81.99,73,38,9.15,scattered clouds,MV
Maldonado,-34.6667,-54.9167,61.99,63,92,7.65,overcast clouds,UY
Manta,-0.95,-80.7333,76.78,73,100,4.61,overcast clouds,EC
Vardo,70.3705,31.1107,42.78,87,75,9.22,broken clouds,NO
Ostersund,63.1792,14.6357,56.61,71,0,12.66,clear sky,SE
Solwezi,-12.1688,26.3894,73.85,25,25,4.03,scattered clouds,ZM
The Valley,18.217,-63.0578,87.82,70,20,12.66,few clouds,AI
Kotar,24.7167,80.9833,76.75,92,75,7.27,broken clouds,IN
Kajaani,64.2273,27.7285,53.65,76,40,4.61,scattered clouds,FI
Lethem,3.3803,-59.7968,91.31,49,35,4.94,scattered clouds,GY
Lidice,8.75,-79.9,83.08,64,74,4.52,broken clouds,PA
Ayni,39.3941,68.5377,61.07,48,35,1.74,scattered clouds,TJ
Venice,27.0998,-82.4543,92.14,82,0,10.36,light rain,US
Pampierstad,-27.7832,24.6877,60.44,15,70,11.12,broken clouds,ZA
Asfi,32.2994,-9.2372,71.24,88,100,16.4,overcast clouds,MA
Mantena,-18.7817,-40.9803,78.69,57,98,8.72,overcast clouds,BR
Bam,29.106,58.357,86.04,26,89,7.34,overcast clouds,IR
Gamba,-2.65,10.0,76.3,75,47,9.35,scattered clouds,GA
Quatre Cocos,-20.2078,57.7625,69.1,70,11,12.59,few clouds,MU
Reconquista,-29.15,-59.65,73.26,29,0,8.48,clear sky,AR
Atasu,48.6814,71.6433,48.34,45,33,6.91,scattered clouds,KZ
Letlhakeng,-24.0944,25.0298,77.41,13,0,13.62,clear sky,BW
Gorele,41.0308,39.0031,70.79,87,31,9.8,scattered clouds,TR
Nacala,-14.5428,40.6728,73.76,76,39,6.06,scattered clouds,MZ
Morondava,-20.2833,44.2833,74.05,74,1,11.65,clear sky,MG
Likhoslavl,57.1275,35.464,47.88,80,100,6.53,overcast clouds,RU
Hualmay,-11.0964,-77.6139,64.54,72,71,11.77,broken clouds,PE
Chokwe,-24.5333,32.9833,68.74,79,75,11.97,broken clouds,MZ
Tombouctou,20.0,-3.0,106.74,12,80,6.08,broken clouds,ML
Maceio,-9.6658,-35.7353,81.84,65,75,11.5,broken clouds,BR
Shache,38.4167,77.2406,81.72,14,100,6.8,overcast clouds,CN
Macaubas,-13.0194,-42.6986,92.64,10,23,7.52,few clouds,BR
Antofagasta,-23.65,-70.4,61.11,70,49,10.38,scattered clouds,CL
Rimouski,48.4488,-68.524,65.88,74,71,5.39,broken clouds,CA
Nosy Varika,-20.5833,48.5333,68.45,82,20,8.32,few clouds,MG
Brindisi,40.5833,17.6667,77.79,51,0,14.18,clear sky,IT
Badalona,41.45,2.2474,90.48,79,20,10.36,few clouds,ES
Storforshei,66.4043,14.5233,51.66,87,0,0.0,clear sky,NO
Banos,-1.4,-78.4167,78.01,43,18,6.69,few clouds,EC
Aswan,24.0934,32.907,97.05,14,0,12.06,clear sky,EG
Durham,36.0335,-78.8664,89.44,69,40,1.99,scattered clouds,US
Arona,28.0996,-16.681,77.99,82,20,6.91,few clouds,ES
Praia,14.9215,-23.5087,81.37,74,69,13.89,broken clouds,CV
Walvis Bay,-22.9575,14.5053,56.08,70,11,14.38,few clouds,NA
Maua,-23.6678,-46.4614,67.75,76,85,10.42,overcast clouds,BR
Agirish,61.9247,63.0231,42.91,83,65,5.77,broken clouds,RU
Jacareacanga,-6.2222,-57.7528,105.04,18,22,3.53,few clouds,BR
Kaduqli,11.0167,29.7167,75.97,82,78,5.35,light rain,SD
Itamaraju,-17.0392,-39.5311,85.17,34,1,9.71,clear sky,BR
Visnes,59.3556,5.2242,60.85,82,75,13.8,broken clouds,NO
Peniche,39.3558,-9.3811,74.1,84,45,23.6,scattered clouds,PT
Bayir,37.2687,28.2167,75.72,50,0,8.25,clear sky,TR
Bubaque,11.2833,-15.8333,79.03,82,87,14.2,overcast clouds,GW
Mangrol,21.1167,70.1167,80.83,87,100,14.07,heavy intensity rain,IN
Sturgeon Bay,44.8342,-87.377,62.96,100,100,4.61,moderate rain,US
Gardiner,44.2301,-69.7753,83.88,62,0,8.05,clear sky,US
Bonavista,48.6499,-53.1147,58.1,98,100,18.86,light rain,CA
Manitowoc,44.0667,-87.8001,66.76,76,100,9.22,overcast clouds,US
Maun,-19.9833,23.4167,78.66,8,0,7.85,clear sky,BW
Warrington,53.3925,-2.5802,65.62,94,75,6.91,broken clouds,GB
Alta Floresta,-9.8756,-56.0861,105.21,12,25,1.77,scattered clouds,BR
Dwarka,22.2394,68.9678,82.26,83,100,16.69,moderate rain,IN
Monrovia,6.3005,-10.7969,79.72,75,74,11.27,broken clouds,LR
Malaya Vishera,58.8454,32.2222,50.2,76,100,3.67,overcast clouds,RU
Semikarakorsk,47.5194,40.8112,64.35,73,97,14.61,overcast clouds,RU
Puerto Leguizamo,-0.1934,-74.7819,95.25,39,7,0.81,clear sky,CO
Urubicha,-15.3833,-62.95,89.71,38,85,3.27,overcast clouds,BO
Marienburg,54.0359,19.0266,56.88,69,2,6.38,clear sky,PL
Tupa,-21.9347,-50.5136,94.23,24,32,2.39,scattered clouds,BR
Buraydah,26.326,43.975,98.22,8,18,8.86,few clouds,SA
Tromso,69.6496,18.957,47.37,70,20,10.36,few clouds,NO
Saint-Joseph,-21.3667,55.6167,68.38,71,45,9.84,scattered clouds,RE
Cap Malheureux,-19.9842,57.6142,69.48,70,7,3.0,clear sky,MU
Bonthe,7.5264,-12.505,79.93,77,80,12.33,broken clouds,SL
Beyneu,45.3167,55.2,66.36,31,28,11.34,scattered clouds,KZ
Posse,-14.0931,-46.3694,95.81,12,32,5.26,scattered clouds,BR
Ullubiyaul,42.5969,47.7182,71.37,83,2,14.45,clear sky,RU
Xai-Xai,-25.0519,33.6442,70.23,80,96,16.22,overcast clouds,MZ
Rabo De Peixe,37.8,-25.5833,77.27,67,20,13.8,few clouds,PT
Washington,47.5001,-120.5015,82.15,26,99,3.24,overcast clouds,US
Abu Samrah,35.3029,37.1841,81.97,37,0,13.13,clear sky,SY
Gus-Zheleznyy,55.0581,41.1656,53.28,52,87,7.7,overcast clouds,RU
Elizabeth City,36.2946,-76.2511,87.82,72,98,5.99,overcast clouds,US
Iqaluit,63.7506,-68.5145,45.7,75,93,20.0,overcast clouds,CA
Cesky Dub,50.6605,14.9962,62.56,70,98,3.18,overcast clouds,CZ
Kathmandu,27.7167,85.3167,71.82,83,75,3.44,broken clouds,NP
Berlevag,70.8578,29.0864,42.75,70,40,4.61,scattered clouds,NO
Lakshettipet,18.8667,79.2167,77.63,92,100,9.4,overcast clouds,IN
Ambanja,-13.6833,48.45,75.25,73,55,2.06,light rain,MG
Kostomuksha,64.571,30.5767,48.58,77,100,5.46,overcast clouds,RU
Palamos,41.8484,3.1291,85.6,69,100,1.99,overcast clouds,ES
Sechura,-5.5569,-80.8222,74.55,56,62,12.12,broken clouds,PE
Saint Anthony,45.0205,-93.218,72.93,49,0,13.8,clear sky,US
Charlestown,-32.95,151.6667,54.68,78,90,3.0,overcast clouds,AU
Lebu,-37.6167,-73.65,54.09,62,81,7.2,broken clouds,CL
Saint-Pierre,-21.3393,55.4781,69.48,73,75,9.22,broken clouds,RE
Novaya Lyada,52.7131,41.6387,55.2,59,100,9.84,overcast clouds,RU
Ballina,-28.8667,153.5667,59.02,98,79,11.16,broken clouds,AU
Moi,58.4567,6.5518,60.39,99,100,5.48,light rain,NO
Miranda,3.2499,-76.2281,82.53,54,51,3.71,broken clouds,CO
Vicuna,-30.0319,-70.7081,73.78,32,0,7.99,clear sky,CL
Rawson,-43.3002,-65.1023,51.64,62,14,17.36,few clouds,AR
Quilpue,-33.045,-71.4494,59.68,76,20,11.5,few clouds,CL
Mattru,7.6244,-11.8332,79.54,82,91,6.6,light rain,SL
Orje,59.4802,11.6602,56.84,82,100,8.14,light rain,NO
Pozo Colorado,-23.4923,-58.7972,71.02,40,100,3.22,overcast clouds,PY
Diego De Almagro,-26.3667,-70.05,70.29,15,0,10.98,clear sky,CL
Nuuk,64.1835,-51.7216,47.01,93,75,8.05,fog,GL
Iquique,-20.2208,-70.1431,60.84,68,74,9.86,broken clouds,CL
Bria,6.5423,21.9863,70.5,92,100,2.3,overcast clouds,CF
Mazyr,52.0495,29.2456,50.09,97,100,7.67,overcast clouds,BY
Birin,26.8865,88.0718,61.25,95,100,4.18,moderate rain,NP
Alexandria,31.2156,29.9553,80.58,73,0,11.9,clear sky,EG
Akkermanovka,51.2467,58.2391,51.69,46,100,5.37,overcast clouds,RU
Paamiut,61.994,-49.6678,41.54,94,74,4.07,broken clouds,GL
Lincoln,40.8,-96.667,80.15,39,0,5.01,clear sky,US
Port Blair,11.6667,92.75,81.3,80,99,7.14,overcast clouds,IN
Sao Gabriel Da Cachoeira,-0.1303,-67.0892,84.99,73,81,5.19,broken clouds,BR
Chicama,-7.8447,-79.1469,61.34,59,60,10.27,broken clouds,PE
Moroceli,14.1167,-86.8667,86.83,52,74,3.24,broken clouds,HN
Houma,29.5958,-90.7195,89.6,69,40,3.44,scattered clouds,US
Chadiza,-14.0678,32.4392,76.01,20,4,5.08,clear sky,ZM
Saint-Raphael,19.4333,-72.2,88.84,49,11,4.97,few clouds,HT
Turukhansk,65.8167,87.9833,39.6,97,100,8.52,light rain,RU
Guzelyurt,38.2772,34.3719,70.23,25,4,4.92,clear sky,TR
Ginda,30.6945,78.4932,62.42,89,0,3.89,clear sky,IN
Riyadh,24.6877,46.7219,96.94,9,46,7.14,scattered clouds,SA
Hospet,15.2667,76.4,72.88,84,100,21.16,overcast clouds,IN
Lakhdenpokhya,61.5198,30.1992,52.21,74,100,6.53,overcast clouds,RU
Porbandar,21.6422,69.6093,81.27,87,100,16.82,very heavy rain,IN
Impfondo,1.6381,18.0667,73.69,89,86,2.33,overcast clouds,CG
Odesskoye,54.2111,72.9651,47.75,52,92,3.74,overcast clouds,RU
Guane,22.2025,-84.0875,90.77,53,49,6.35,scattered clouds,CU
Ancud,-41.8697,-73.8203,53.22,67,100,2.75,overcast clouds,CL
Harper,4.375,-7.7169,77.04,80,97,9.22,overcast clouds,LR
Lasa,46.6166,10.7002,65.35,55,71,1.92,broken clouds,IT
Barranca,-10.75,-77.7667,64.0,72,81,12.15,broken clouds,PE
Kyshtovka,56.555,76.6271,41.4,68,93,3.8,overcast clouds,RU
Vrede,-27.4257,29.1659,52.23,77,84,13.69,broken clouds,ZA
Port-Gentil,-0.7193,8.7815,76.35,80,13,12.57,few clouds,GA
Pachino,36.7186,15.0907,78.58,64,6,6.49,clear sky,IT
Porto Santo,33.072,-16.3415,77.38,69,20,17.27,few clouds,PT
Urucara,-2.5364,-57.76,102.94,23,58,4.07,light rain,BR
Stolin,51.8912,26.846,50.59,95,100,7.02,overcast clouds,BY
Komsomolskiy,40.4272,71.7189,57.92,77,93,6.91,overcast clouds,UZ
Bela,25.9333,81.9833,78.57,88,51,17.13,moderate rain,IN
Kushchevskaya,46.5564,39.6386,68.97,71,99,4.92,overcast clouds,RU
Coquimbo,-29.9533,-71.3436,60.53,63,0,12.66,clear sky,CL
Uribia,11.7139,-72.266,90.16,51,87,5.57,overcast clouds,CO
Comodoro Rivadavia,-45.8667,-67.5,51.66,54,0,11.5,clear sky,AR
Salym,60.0625,71.4789,40.26,75,66,4.54,broken clouds,RU
Gumdag,39.2061,54.5906,75.02,15,0,23.91,clear sky,TM
Loharu,28.45,75.8167,86.92,54,26,6.6,scattered clouds,IN
Mangaratiba,-22.9597,-44.0406,73.2,71,63,10.56,broken clouds,BR
Harbour Breton,47.4833,-55.7983,61.02,87,98,20.8,overcast clouds,CA
Senneterre,48.3835,-77.2328,65.43,79,87,2.24,overcast clouds,CA
Ulcinj,41.9294,19.2244,79.02,58,0,10.94,clear sky,ME
